idx,Model ID,Mean,ade_corpus_v2,anli,aqua_rat,arc_challenge,arc_easy,banking77,boolean_expressions,circa,clinc_oos,commonsense_qa,cryptonews_articles,disfl_qa,elementary_math_qa_question_only,formal_fallacies_syllogisms_negation,glue_cola,glue_mnli,glue_mrpc,glue_qnli,glue_qqp,glue_sst2,gsm8k,hyperbaton,intersect_geometry,machine_paraphrase_dataset,medmcqa,mmlu_combined,mmlu_pro,mnist_ascii,multistep_arithmetic,object_counting,openmathinstruct_2,overruling,qa_wikidata,qasc,quail,race_high,reasoning_about_colored_objects,sciq,sports_understanding,stackoverflow_questions,super_glue_boolq,super_glue_copa,super_glue_rte,super_glue_wic,super_glue_wsc,temporal_sequences,toxic_chat,tracking_shuffled_objects,tweet_eval_hate,tweet_topic_single,twitter_complaints,twitter_financial_news_sentiment,typescript_chunks,unarxive_imrad_clf,unit_conversion_si_conversion,web_of_lies,xnli_de,xnli_en,xnli_es,xnli_fr,xnli_hi,xnli_th
10,255yossya/matsuollm2025_main_lora_repo_v14,0.48030913978494616,0.78,0.47,0.26,0.74,0.95,0.28,0.52,0.05,0.22,0.4,0.42,0.27,0.09,0.65,0.82,0.66,0.73,0.63,0.8,0.83,0.86,0.62,0.0,0.65,0.37,0.49,0.19,0.11,0.1,0.14,0.0,0.82,0.4,0.7,0.43,0.77,0.4,0.37,0.53,0.22916666666666666,0.7,0.51,0.65,0.61,0.56,0.42,0.83,0.19,0.59,0.7,0.84,0.54,0.87,0.27,0.18,0.49,0.33,0.52,0.37,0.38,0.21,0.27
11,255yossya/matsuollm2025_main_lora_repo_v15,0.44191532258064503,0.68,0.37,0.27,0.66,0.83,0.27,0.5,0.05,0.24,0.32,0.44,0.28,0.18,0.62,0.69,0.45,0.73,0.53,0.68,0.81,0.83,0.55,0.02,0.6,0.29,0.44,0.15,0.15,0.13,0.18,0.0,0.56,0.28,0.53,0.53,0.76,0.24,0.3,0.65,0.21875,0.71,0.47,0.58,0.47,0.43,0.6,0.82,0.21,0.59,0.66,0.75,0.44,0.7,0.2,0.15,0.48,0.33,0.38,0.37,0.36,0.3,0.39
12,255yossya/matsuollm2025_main_lora_repo_v2,0.5530779569892477,0.82,0.5,0.38,0.8,0.92,0.24,0.55,0.03,0.4,0.55,0.41,0.3,0.01,0.64,0.79,0.79,0.72,0.82,0.81,0.82,0.94,0.75,0.04,0.61,0.51,0.6,0.24,0.08,0.1,0.27,0.0,0.92,0.48,0.85,0.59,0.84,0.39,0.39,0.64,0.2708333333333333,0.81,0.71,0.75,0.7,0.61,0.37,0.93,0.28,0.62,0.8,0.91,0.64,0.84,0.26,0.19,0.51,0.6,0.67,0.6,0.67,0.45,0.56
13,255yossya/matsuollm2025_main_lora_repo_v3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,255yossya/matsuollm2025_main_lora_repo_v4,0.5535551075268818,0.8,0.48,0.37,0.8,0.94,0.42,0.69,0.09,0.39,0.59,0.44,0.27,0.08,0.67,0.81,0.78,0.82,0.8,0.84,0.87,0.96,0.52,0.03,0.72,0.46,0.64,0.2,0.05,0.19,0.33,0.02,0.93,0.48,0.81,0.61,0.79,0.41,0.43,0.64,0.2604166666666667,0.86,0.69,0.72,0.63,0.44,0.47,0.95,0.17,0.53,0.76,0.9,0.65,0.71,0.23,0.13,0.63,0.56,0.65,0.62,0.6,0.45,0.54
15,255yossya/matsuollm2025_main_lora_repo_v5,0.5440322580645163,0.81,0.52,0.39,0.81,0.93,0.42,0.67,0.08,0.39,0.43,0.42,0.3,0.16,0.62,0.8,0.74,0.8,0.75,0.84,0.83,0.95,0.52,0.05,0.63,0.42,0.64,0.23,0.05,0.12,0.34,0.01,0.93,0.45,0.78,0.62,0.82,0.42,0.43,0.56,0.25,0.83,0.72,0.76,0.62,0.48,0.43,0.92,0.2,0.52,0.75,0.9,0.48,0.8,0.21,0.1,0.49,0.6,0.67,0.68,0.62,0.46,0.56
16,255yossya/matsuollm2025_main_lora_repo_v6,0.5412701612903228,0.82,0.48,0.39,0.78,0.93,0.28,0.64,0.03,0.33,0.46,0.41,0.28,0.01,0.61,0.79,0.76,0.75,0.68,0.82,0.83,0.94,0.71,0.05,0.63,0.44,0.59,0.23,0.11,0.1,0.28,0.0,0.94,0.51,0.79,0.62,0.8,0.5,0.43,0.6,0.21875,0.8,0.67,0.72,0.63,0.55,0.48,0.92,0.17,0.53,0.72,0.92,0.54,0.81,0.2,0.17,0.52,0.63,0.69,0.59,0.66,0.49,0.58
17,255yossya/matsuollm2025_main_lora_repo_v7,0.034193548387096775,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.04,0.0,0.0,0.13,0.0,0.0,0.57,0.02,0.02,0.0,0.02,0.32,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.22,0.01,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.16,0.05,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,255yossya/matsuollm2025_main_lora_repo_v8,0.4590120967741935,0.69,0.49,0.31,0.76,0.88,0.3,0.56,0.08,0.33,0.28,0.46,0.26,0.0,0.64,0.73,0.54,0.7,0.52,0.68,0.84,0.79,0.61,0.01,0.61,0.34,0.44,0.16,0.09,0.09,0.11,0.0,0.55,0.24,0.69,0.48,0.72,0.37,0.35,0.6,0.21875,0.74,0.46,0.6,0.52,0.54,0.5,0.73,0.24,0.58,0.76,0.83,0.49,0.8,0.26,0.17,0.48,0.36,0.47,0.38,0.41,0.27,0.35
19,255yossya/matsuollm2025_main_lora_repo_v9,0.4598454301075271,0.64,0.48,0.33,0.72,0.86,0.29,0.5,0.04,0.31,0.33,0.45,0.29,0.03,0.63,0.7,0.54,0.7,0.52,0.71,0.84,0.81,0.63,0.01,0.61,0.32,0.46,0.14,0.1,0.11,0.1,0.0,0.58,0.3,0.71,0.45,0.69,0.4,0.35,0.64,0.2604166666666667,0.74,0.46,0.6,0.52,0.46,0.55,0.8,0.28,0.58,0.79,0.82,0.44,0.83,0.27,0.14,0.48,0.3,0.46,0.37,0.37,0.37,0.3
20,2young/llm2026_001,0.561323924731183,0.81,0.53,0.39,0.85,0.94,0.25,0.61,0.05,0.37,0.59,0.39,0.38,0.01,0.66,0.84,0.83,0.7,0.84,0.8,0.85,0.95,0.73,0.05,0.69,0.52,0.61,0.2,0.1,0.1,0.34,0.0,0.95,0.44,0.89,0.54,0.83,0.26,0.38,0.62,0.3020833333333333,0.79,0.69,0.82,0.69,0.67,0.43,0.92,0.21,0.64,0.8,0.9,0.69,0.85,0.32,0.16,0.49,0.59,0.7,0.6,0.63,0.49,0.53
21,AIkiti/qwen3-4b-structured-output-lora,0.5650134408602151,0.78,0.51,0.39,0.86,0.96,0.39,0.66,0.05,0.33,0.64,0.41,0.34,0.15,0.66,0.8,0.82,0.73,0.83,0.82,0.88,0.95,0.65,0.1,0.58,0.49,0.66,0.28,0.05,0.21,0.49,0.01,0.9,0.46,0.88,0.63,0.83,0.46,0.45,0.73,0.2708333333333333,0.88,0.82,0.81,0.71,0.47,0.39,0.95,0.21,0.61,0.71,0.88,0.7,0.92,0.26,0.11,0.5,0.49,0.64,0.49,0.49,0.43,0.47
22,Abdelrahman2922/Qwen3_4b_lora_egyptian_sft,0.5730913978494625,0.69,0.55,0.15,0.85,0.89,0.35,0.72,0.19,0.36,0.66,0.42,0.33,0.04,0.66,0.81,0.85,0.75,0.9,0.82,0.86,0.96,0.82,0.02,0.62,0.54,0.65,0.27,0.1,0.05,0.46,0.0,0.87,0.4,0.91,0.62,0.77,0.41,0.41,0.71,0.2916666666666667,0.87,0.8,0.89,0.73,0.46,0.45,0.91,0.17,0.63,0.68,0.79,0.7,0.9,0.36,0.17,0.42,0.67,0.75,0.66,0.65,0.55,0.59
23,Aflat/your-lora-repo-1-1-3,0.5588642473118279,0.8,0.49,0.4,0.82,0.92,0.2,0.55,0.05,0.37,0.6,0.42,0.33,0.01,0.64,0.81,0.82,0.71,0.83,0.8,0.84,0.96,0.66,0.05,0.65,0.54,0.63,0.23,0.1,0.09,0.34,0.0,0.91,0.44,0.85,0.6,0.83,0.38,0.41,0.66,0.23958333333333334,0.8,0.66,0.79,0.68,0.63,0.43,0.92,0.26,0.63,0.82,0.9,0.69,0.85,0.33,0.15,0.54,0.6,0.66,0.62,0.64,0.51,0.56
24,Aki-1010/llm-course-advanced-2025-main-v20260217-1634,0.5288575268817204,0.75,0.51,0.34,0.85,0.94,0.29,0.61,0.06,0.26,0.42,0.37,0.34,0.0,0.63,0.79,0.72,0.65,0.77,0.78,0.82,0.92,0.66,0.01,0.78,0.48,0.54,0.2,0.08,0.11,0.15,0.0,0.93,0.41,0.76,0.52,0.82,0.29,0.38,0.53,0.22916666666666666,0.76,0.58,0.73,0.69,0.62,0.31,0.93,0.27,0.59,0.82,0.88,0.69,0.86,0.29,0.16,0.53,0.55,0.66,0.57,0.66,0.43,0.51
25,Aki-1010/llm-course-advanced-2025-main-v20260218-1346,0.4988978494623656,0.73,0.45,0.35,0.81,0.92,0.34,0.55,0.04,0.24,0.46,0.43,0.32,0.02,0.62,0.78,0.62,0.79,0.68,0.84,0.78,0.86,0.58,0.01,0.66,0.43,0.39,0.14,0.07,0.07,0.14,0.0,0.93,0.35,0.69,0.57,0.75,0.36,0.35,0.53,0.2916666666666667,0.75,0.51,0.63,0.67,0.56,0.31,0.94,0.17,0.58,0.74,0.88,0.62,0.84,0.24,0.09,0.54,0.42,0.67,0.52,0.56,0.35,0.4
26,Aki-1010/llm-course-advanced-2025-main-v20260218-1705,0.46840053763440875,0.83,0.38,0.3,0.72,0.86,0.25,0.53,0.03,0.16,0.45,0.43,0.3,0.0,0.61,0.81,0.67,0.72,0.67,0.82,0.79,0.87,0.43,0.0,0.66,0.38,0.38,0.11,0.07,0.08,0.06,0.0,0.89,0.34,0.61,0.55,0.74,0.38,0.35,0.54,0.2708333333333333,0.71,0.46,0.66,0.59,0.53,0.4,0.91,0.27,0.56,0.66,0.89,0.51,0.87,0.21,0.1,0.42,0.34,0.43,0.44,0.4,0.3,0.34
27,Aki-1010/llm-course-advanced-2025-main-v20260218-2338,0.5685551075268818,0.79,0.56,0.4,0.87,0.97,0.25,0.6,0.05,0.37,0.64,0.41,0.35,0.01,0.64,0.83,0.87,0.72,0.81,0.79,0.87,0.95,0.69,0.07,0.77,0.52,0.61,0.28,0.12,0.06,0.36,0.0,0.92,0.42,0.9,0.56,0.83,0.31,0.38,0.69,0.2604166666666667,0.82,0.65,0.85,0.69,0.65,0.45,0.95,0.18,0.63,0.81,0.88,0.69,0.87,0.33,0.16,0.51,0.61,0.71,0.64,0.65,0.46,0.56
28,Aki-1010/llm-course-advanced-2025-main-v20260225-1353,0.5651747311827957,0.8,0.56,0.4,0.86,0.97,0.22,0.61,0.05,0.37,0.61,0.41,0.35,0.0,0.67,0.83,0.85,0.72,0.8,0.79,0.87,0.95,0.74,0.07,0.75,0.5,0.59,0.23,0.09,0.08,0.33,0.0,0.92,0.42,0.88,0.53,0.83,0.29,0.4,0.7,0.2708333333333333,0.83,0.64,0.81,0.67,0.65,0.45,0.94,0.23,0.64,0.81,0.87,0.66,0.88,0.33,0.16,0.51,0.62,0.69,0.63,0.68,0.47,0.56
29,Aki-1010/llm-course-advanced-2025-main-v20260225-2354,0.5582190860215053,0.8,0.53,0.41,0.86,0.96,0.32,0.63,0.05,0.31,0.58,0.42,0.36,0.0,0.64,0.85,0.77,0.72,0.78,0.78,0.85,0.93,0.69,0.06,0.75,0.49,0.57,0.22,0.07,0.08,0.25,0.0,0.93,0.44,0.89,0.52,0.83,0.3,0.4,0.64,0.23958333333333334,0.8,0.6,0.81,0.7,0.67,0.4,0.93,0.23,0.62,0.84,0.89,0.69,0.89,0.29,0.15,0.53,0.58,0.71,0.66,0.66,0.49,0.55
30,Aki-1010/llm-course-advanced-2025-main-v20260226-1608,0.5651747311827957,0.8,0.53,0.44,0.87,0.96,0.27,0.6,0.05,0.34,0.6,0.42,0.36,0.0,0.64,0.83,0.82,0.71,0.78,0.78,0.87,0.94,0.73,0.09,0.75,0.53,0.58,0.24,0.06,0.08,0.31,0.0,0.91,0.44,0.88,0.52,0.83,0.3,0.41,0.68,0.2708333333333333,0.81,0.62,0.85,0.69,0.68,0.41,0.94,0.21,0.63,0.81,0.89,0.69,0.89,0.31,0.16,0.55,0.61,0.71,0.63,0.69,0.5,0.54
31,AkiNishi/Qwen3-4B-Instruct-2507-LoRA-v003,0.5713037634408601,0.79,0.57,0.43,0.86,0.96,0.25,0.61,0.05,0.38,0.59,0.42,0.35,0.0,0.66,0.84,0.85,0.71,0.83,0.8,0.87,0.96,0.75,0.09,0.78,0.53,0.59,0.24,0.11,0.08,0.4,0.0,0.92,0.43,0.9,0.57,0.83,0.29,0.39,0.7,0.2708333333333333,0.83,0.66,0.86,0.69,0.65,0.45,0.94,0.23,0.64,0.81,0.87,0.66,0.87,0.33,0.17,0.49,0.6,0.7,0.62,0.65,0.49,0.56
32,AkiNishi/Qwen3-4B-Instruct-2507-LoRA-v004,0.5542002688172044,0.8,0.52,0.43,0.86,0.95,0.28,0.62,0.04,0.35,0.56,0.41,0.32,0.0,0.64,0.84,0.78,0.74,0.79,0.8,0.84,0.93,0.68,0.05,0.77,0.48,0.58,0.2,0.12,0.09,0.19,0.0,0.92,0.44,0.84,0.52,0.84,0.35,0.42,0.61,0.2604166666666667,0.8,0.57,0.79,0.66,0.68,0.4,0.94,0.23,0.6,0.81,0.91,0.68,0.89,0.29,0.14,0.49,0.6,0.72,0.64,0.68,0.46,0.52
33,AkiNishi/Qwen3-4B-Instruct-2507-LoRA-v005,0.5433467741935483,0.82,0.56,0.43,0.83,0.95,0.32,0.58,0.06,0.32,0.54,0.43,0.34,0.0,0.66,0.83,0.7,0.73,0.77,0.8,0.84,0.93,0.64,0.07,0.74,0.43,0.52,0.2,0.07,0.09,0.16,0.0,0.9,0.43,0.83,0.53,0.79,0.41,0.39,0.55,0.1875,0.79,0.53,0.75,0.68,0.62,0.42,0.94,0.26,0.6,0.83,0.91,0.65,0.88,0.3,0.14,0.54,0.57,0.69,0.6,0.65,0.48,0.48
34,Akiko0087/qwen3-4b-structured-output-lora-rev03,0.5668010752688173,0.8,0.56,0.41,0.87,0.95,0.26,0.6,0.05,0.34,0.62,0.43,0.36,0.0,0.66,0.84,0.85,0.71,0.81,0.8,0.87,0.96,0.7,0.06,0.74,0.54,0.61,0.24,0.08,0.07,0.35,0.0,0.92,0.42,0.88,0.55,0.83,0.29,0.42,0.69,0.2916666666666667,0.83,0.65,0.83,0.65,0.64,0.44,0.94,0.21,0.64,0.81,0.88,0.66,0.87,0.32,0.19,0.53,0.61,0.69,0.63,0.66,0.47,0.56
35,Akira1101/lora-structeval-Ver14,0.5677553763440858,0.79,0.53,0.43,0.88,0.97,0.24,0.6,0.07,0.37,0.66,0.41,0.4,0.0,0.6,0.83,0.87,0.7,0.82,0.81,0.87,0.95,0.68,0.04,0.74,0.5,0.6,0.28,0.12,0.06,0.38,0.0,0.92,0.41,0.89,0.56,0.83,0.32,0.38,0.68,0.2708333333333333,0.83,0.69,0.83,0.72,0.62,0.47,0.95,0.18,0.63,0.82,0.88,0.69,0.85,0.32,0.17,0.55,0.56,0.69,0.64,0.6,0.47,0.58
36,AlcatrazYU/qwen3-4b-main-sft-r4-v5-lr2e5,0.563393817204301,0.79,0.56,0.37,0.86,0.96,0.29,0.59,0.07,0.38,0.6,0.39,0.34,0.0,0.62,0.83,0.86,0.7,0.82,0.78,0.86,0.95,0.68,0.03,0.78,0.48,0.58,0.29,0.13,0.06,0.38,0.0,0.91,0.4,0.9,0.54,0.85,0.32,0.37,0.69,0.2604166666666667,0.83,0.64,0.81,0.68,0.61,0.47,0.93,0.22,0.64,0.81,0.87,0.69,0.81,0.34,0.17,0.51,0.59,0.73,0.64,0.66,0.45,0.56
37,AmitPrakash/ptrblck-qwen3-4b-sft-adapter,0.5868077956989246,0.78,0.55,0.31,0.9,0.95,0.36,0.72,0.27,0.42,0.64,0.42,0.41,0.1,0.66,0.81,0.85,0.73,0.89,0.82,0.87,0.98,0.69,0.12,0.69,0.51,0.62,0.31,0.08,0.04,0.44,0.01,0.89,0.47,0.9,0.51,0.82,0.53,0.42,0.7,0.3020833333333333,0.86,0.78,0.88,0.73,0.46,0.48,0.95,0.22,0.61,0.69,0.81,0.7,0.94,0.36,0.17,0.52,0.65,0.73,0.64,0.63,0.51,0.57
38,Amouri28/Qwen3-4B-SFTDPO-lora-repo,0.5704973118279569,0.8,0.58,0.41,0.86,0.97,0.25,0.62,0.08,0.41,0.67,0.4,0.33,0.0,0.62,0.83,0.86,0.73,0.84,0.81,0.86,0.94,0.61,0.0,0.73,0.5,0.56,0.31,0.08,0.09,0.38,0.0,0.92,0.45,0.88,0.59,0.82,0.4,0.38,0.68,0.2708333333333333,0.85,0.7,0.77,0.69,0.63,0.44,0.94,0.2,0.63,0.84,0.89,0.7,0.77,0.35,0.17,0.54,0.63,0.73,0.66,0.64,0.51,0.57
39,Amouri28/Qwen3-4B-lora-DBBench_repo,0.5593817204301076,0.77,0.56,0.3,0.88,0.95,0.27,0.58,0.07,0.37,0.61,0.39,0.41,0.0,0.63,0.82,0.85,0.71,0.88,0.81,0.86,0.91,0.51,0.01,0.75,0.5,0.54,0.22,0.07,0.03,0.37,0.0,0.88,0.34,0.89,0.57,0.83,0.33,0.4,0.7,0.2916666666666667,0.86,0.77,0.86,0.69,0.6,0.46,0.96,0.24,0.64,0.78,0.84,0.7,0.82,0.35,0.13,0.37,0.61,0.73,0.67,0.65,0.5,0.59
40,Amouri28/Qwen3-4B-lora-repo,0.5483870967741936,0.79,0.55,0.24,0.86,0.97,0.26,0.59,0.05,0.37,0.67,0.38,0.37,0.0,0.58,0.81,0.87,0.69,0.86,0.81,0.86,0.9,0.49,0.01,0.8,0.48,0.61,0.21,0.08,0.06,0.31,0.0,0.92,0.36,0.87,0.51,0.84,0.24,0.36,0.66,0.25,0.84,0.68,0.81,0.67,0.6,0.44,0.95,0.23,0.65,0.79,0.87,0.67,0.75,0.34,0.16,0.42,0.58,0.71,0.66,0.6,0.46,0.58
41,AshMrb/qwen3-4b-structured-output-lora_ashv1,0.4548790322580646,0.46,0.51,0.31,0.59,0.89,0.29,0.74,0.2,0.11,0.3,0.41,0.23,0.16,0.5,0.72,0.58,0.75,0.92,0.65,0.87,0.7,0.5,0.04,0.58,0.28,0.23,0.1,0.13,0.16,0.24,0.05,0.57,0.42,0.74,0.45,0.58,0.39,0.42,0.51,0.3125,0.88,0.68,0.79,0.52,0.42,0.32,0.82,0.23,0.56,0.42,0.54,0.47,0.38,0.19,0.08,0.01,0.64,0.65,0.61,0.62,0.37,0.41
42,AshMrb/qwen3-4b-structured-output-lora_ashv6,0.5704905913978493,0.79,0.53,0.43,0.88,0.97,0.24,0.63,0.05,0.37,0.64,0.4,0.37,0.01,0.62,0.81,0.87,0.71,0.82,0.8,0.88,0.94,0.7,0.07,0.76,0.53,0.61,0.27,0.12,0.06,0.39,0.0,0.91,0.41,0.88,0.57,0.84,0.36,0.38,0.68,0.2604166666666667,0.84,0.7,0.84,0.72,0.61,0.47,0.95,0.2,0.64,0.81,0.89,0.68,0.85,0.33,0.16,0.54,0.58,0.71,0.64,0.62,0.46,0.57
43,AshMrb/qwen3-4b-structured-output-lora_ashv9,0.5691868279569892,0.79,0.52,0.43,0.86,0.97,0.21,0.59,0.06,0.38,0.68,0.4,0.34,0.0,0.62,0.81,0.87,0.73,0.86,0.79,0.88,0.96,0.67,0.07,0.69,0.52,0.6,0.33,0.1,0.08,0.36,0.0,0.94,0.42,0.89,0.61,0.84,0.4,0.37,0.68,0.23958333333333334,0.82,0.71,0.81,0.67,0.65,0.46,0.94,0.19,0.65,0.81,0.88,0.68,0.86,0.33,0.18,0.55,0.59,0.68,0.65,0.6,0.47,0.55
44,AshleyQu0311/Qwen3-4B-Structured-Conversion-LoRA-v1,0.5690389784946238,0.82,0.58,0.43,0.85,0.96,0.27,0.6,0.12,0.39,0.63,0.38,0.3,0.01,0.62,0.83,0.87,0.74,0.83,0.8,0.87,0.96,0.57,0.0,0.74,0.5,0.57,0.32,0.07,0.08,0.41,0.01,0.92,0.48,0.87,0.64,0.81,0.39,0.38,0.67,0.2604166666666667,0.85,0.66,0.74,0.69,0.62,0.41,0.94,0.22,0.65,0.83,0.88,0.69,0.74,0.32,0.15,0.51,0.65,0.72,0.67,0.64,0.55,0.6
